viviendaCodigo;periodo;DPE;MONTO_DPE;CAMUZZI;MONTO_CAMUZZI;DPOSS;MONTO_DPOSS
AB-401;2026_01;1875;$ 1.000,00;2266/6;$ 2.400,00;12857;$ 3.000,00
AB-402;2026_01;6358;$ 1.000,00;2267/8;$ 2.400,00;12858;$ 3.000,00
AB-403;2026_01;1857;$ 1.000,00;2268/0;$ 2.400,00;12859;$ 3.000,00
AB-404;2026_01;1776;$ 1.000,00;2269/1;$ 2.400,00;12860;$ 3.000,00
AB-405;2026_01;1785;$ 1.000,00;2270/8;$ 2.400,00;12861;$ 3.000,00
AB-406;2026_01;1879;$ 1.000,00;2271/0;$ 2.400,00;12862;$ 3.000,00
AB-407;2026_01;941;$ 1.000,00;2272/1;$ 2.400,00;12863;$ 3.000,00
AB-408;2026_01;2627;$ 1.000,00;2273/3;$ 2.400,00;12864;$ 3.000,00
AB-409;2026_01;1869;$ 1.000,00;2274/5;$ 2.400,00;12964;$ 3.000,00
AB-410;2026_01;1841;$ 1.000,00;2275/7;$ 2.400,00;12965;$ 3.000,00
AB-411;2026_01;1581;$ 1.000,00;2276/9;$ 2.400,00;12865;$ 3.000,00
AB-412;2026_01;1576;$ 1.000,00;2277/1;$ 2.400,00;12866;$ 3.000,00
AB-413;2026_01;4571;$ 1.000,00;2278/2;$ 2.400,00;12867;$ 3.000,00
AB-414;2026_01;1890;$ 1.000,00;2279/4;$ 2.400,00;12868;$ 3.000,00
AB-415;2026_01;1856;$ 1.000,00;2280/1;$ 2.400,00;12869;$ 3.000,00
AB-416;2026_01;1735;$ 1.000,00;2281/2;$ 2.400,00;12870;$ 3.000,00
AB-417;2026_01;1821;$ 1.000,00;2282/4;$ 2.400,00;12871;$ 3.000,00
AB-418;2026_01;1839;$ 1.000,00;2283/6;$ 2.400,00;12872;$ 3.000,00
AB-419;2026_01;1770;$ 1.000,00;2284/8;$ 2.400,00;12873;$ 3.000,00
AB-420;2026_01;4087;$ 1.000,00;2285/0;$ 2.400,00;12874;$ 3.000,00
AB-421;2026_01;1881;$ 1.000,00;2286/1;$ 2.400,00;12875;$ 3.000,00
AB-422;2026_01;1867;$ 1.000,00;2287/3;$ 2.400,00;12876;$ 3.000,00
AB-423;2026_01;3488;$ 1.000,00;2288/5;$ 2.400,00;12986;$ 3.000,00
AB-424;2026_01;1772;$ 1.000,00;2289/7;$ 2.400,00;12987;$ 3.000,00
AB-425;2026_01;1861;$ 1.000,00;2290/3;$ 2.400,00;12877;$ 3.000,00
AB-426;2026_01;1871;$ 1.000,00;2291/5;$ 2.400,00;12878;$ 3.000,00
AB-427;2026_01;1858;$ 1.000,00;2292/7;$ 2.400,00;12879;$ 3.000,00
AB-428;2026_01;1819;$ 1.000,00;2293/9;$ 2.400,00;12880;$ 3.000,00
AB-429;2026_01;1863;$ 1.000,00;2294/1;$ 2.400,00;12881;$ 3.000,00
AB-430;2026_01;1762;$ 1.000,00;2295/2;$ 2.400,00;12882;$ 3.000,00
AB-431;2026_01;1778;$ 1.000,00;2296/4;$ 2.400,00;12883;$ 3.000,00
AB-432;2026_01;1873;$ 1.000,00;2297/6;$ 2.400,00;12884;$ 3.000,00
AB-433;2026_01;1892;$ 1.000,00;2298/8;$ 2.400,00;12988;$ 3.000,00
AB-434;2026_01;1791;$ 1.000,00;2299/0;$ 2.400,00;12989;$ 3.000,00
AB-435;2026_01;5276;$ 1.000,00;2300/2;$ 2.400,00;12885;$ 3.000,00
AB-436;2026_01;1826;$ 1.000,00;2301/4;$ 2.400,00;12886;$ 3.000,00
AB-437;2026_01;1783;$ 1.000,00;2302/6;$ 2.400,00;12887;$ 3.000,00
AB-438;2026_01;1837;$ 1.000,00;2303/8;$ 2.400,00;12888;$ 3.000,00
